Flight,Airline,Registration,Serial Number,Manufacturer,Type,Age,From,To,Height,Date,Location
"BA92","British Airways","G-VIIL","27493","Boeing","777-236(ER)","25","YYZ","LHR","13989","27/08/2019","Abingdon"
"FR8546","Ryanair","9H-QAI","44814","Boeing","737-8AS","5","CGN","NOC","40000","27/08/2019","Abingdon"
"BE881","Flybe","F-FLBA","4253","De Havilland","Canada Dash 8-400","14","GLA","SOU","10025","27/08/2019","Abingdon"
"EIN24V","Aer Lingus","EI-DEA","2191","Airbus","A320-214","19","DUB","N/A","14975","27/08/2019","Abingdon"
"LX381","Swiss","HB-IPV","578","Airbus","A319-112","27","MAN","ZRH","22284","27/08/2019","Abingdon"
"FR696","Ryanair","EI-ENF","35034","Boeing","737-8AS","12","PIK","PMI","37000","27/08/2019","Abingdon"
"FR1718","Ryanair","EI-GJI","44826","Boeing","737-8AS","5","BFS","MLA","37000","27/08/2019","Abingdon"
"LS1217","Jet2","G-GDFF","28385","Boeing","737-85P","23","BHX","ALC","25820","27/08/2019","Abingdon"
"AF8","Air France","F-HRBE","38772","Boeing","787-9 Dreamliner","5","CDG","JFK","37950","27/08/2019","Abingdon"
"AF348","Air France","F-GSPN","29011","Boeing","777-228(ER)","22","CDG","YUL","33975","27/08/2019","Abingdon"
"U2886","EasyJet","G-EZEH","2184","Airbus","A319-111","19","GLA","LGW","14989","27/08/2019","Abingdon"
"B0200","La Compagnie","F-HCIE","27208","Boeing","757-204","29","NCE","EWR","36000","27/08/2019","Abingdon"
"FR2156","Ryanair","EI-EXE","40321","Boeing","737-8AS","10","BHX","AGP","28600","27/08/2019","Abingdon"
"U21921","EasyJet","G-EZGE","4624","Airbus","A319-111","12","MAN","ALC","35700","27/08/2019","Abingdon"
"U26895","EasyJet","G-EZRX","8321","Airbus","A320-214","5","GLA","PMI","37000","27/08/2019","Abingdon"
"FR341","Ryanair","EI-DHR","33822","Boeing","737-8AS","17","LTN","DUB","22500","27/08/2019","Abingdon"
"VY8749","Vueling","EC-KLB","3321","Airbus","A320-214","15","MAN","BCN","35850","27/08/2019","Abingdon"
"BY2242","TUI","G-TUIC","34424","Boeing","787-8 Dreamliner","10","MAN","HER","35625","27/08/2019","Abingdon"
"BY7614","TUI","G-FDZD","35132","Boeing","737-8K5","16","BHX","MAH","28650","31/08/2019","Abingdon"
"LS953","Jet2","G-GDFP","28177","Boeing","737-8Z9","25","MAN","PMI","36400","31/08/2019","Abingdon"
"LH421","Lufthansa","D-AIKM","913","Airbus","A330-343","15","BOS","FRA","39000","31/08/2019","Abingdon"
"FR1119","Ryanair","EI-GJB","44822","Boeing","737-8AS","5","EDI","CCF","37000","31/08/2019","Abingdon"
"BY1642","TUI","G-TAWM","37249","Boeing","737-8K5","10","NCL","ALC","34975","31/08/2019","Abingdon"
"LS3145","Jet2","G-DRTW","28618","Boeing","737-86N","23","BHX","MAH","20775","31/08/2019","Abingdon"
"FR6656","Ryanair","EI-DWW","33629","Boeing","737-8AS","15","EDI","PMI","37000","31/08/2019","Abingdon"
"BY2622","TUI","G-OBYH","28883","Boeing","767-304(ER)","24","MAN","PMI","35024","31/08/2019","Abingdon"
"LH405","Lufthansa","D-ABYL","37836","Boeing","747-830","9","JFK","FRA","36000","31/08/2019","Abingdon"
"LS177","Jet2","G-JZHY","63155","Boeing","737-8MG","6","GLA","ALC","37000","31/08/2019","Abingdon"
"TS804","Air Transat","C-GUBT","732","Airbus","A330-243","17","YYC","LGW","15000","31/08/2019","Abingdon"
"KL789","KLM","PH-AOE","770","Airbus","A330-203","17","CUR","AMS","40000","31/08/2019","Abingdon"
"MP6161","KLM Cargo","PH-CKA","33694","Boeing","747-406F(ER)","20","AMS","MIA","30000","31/08/2019","Abingdon"
"LS155","Jet2","G-JZHZ","63156","Boeing","737-8MG","6","GLA","REU","37000","31/08/2019","Abingdon"
"LS511","Jet2","G-GDFX","27987","Boeing","737-8K5","23","NCL","REU","37000","31/08/2019","Abingdon"
"UA940","United Airlines","N665UA","29237","Boeing","767-322(ER)","25","EWR","LHR","11100","31/08/2019","Abingdon"
"TK1975","Turkish Airlines","TC-JVL","60017","Boeing","737-8F2","7","IST","DUB","38000","31/08/2019","Abingdon"
"EI841","Aer Lingus","EI-EDS","3755","Airbus","A320-214","14","AMS","ORK","36000","31/08/2019","Abingdon"
"LH415","Lufthansa","D-AIXL","255","Airbus","A350-941","4","IAD","MUC","39000","31/08/2019","Abingdon"
"EY130","Etihad Airways","A6-BLB","39674","Boeing","787-9 Dreamliner","8","IAD","AUH","37000","31/08/2019","Abingdon"
"U2800","EasyJet","OE-IZB","4316","Airbus","A320-214","13","EDI","LGW","15000","31/08/2019","Abingdon"
"AA705","American Airlines","N287AY","1417","Airbus","A330-243","10","FRA","CLT","30000","31/08/2019","Abingdon"
"QR730","Qatar Airways","A7-ANE","141","Airbus","A350-1041","4","DFW","DOH","37025","31/08/2019","Abingdon"
"WS3","WestJet","C-GOGN","25576","Boeing","767-388(ER)","29","YYZ","LGW","15000","31/08/2019","Abingdon"
"QR744","Qatar Airways","A7-BEJ","60336","Boeing","777-3DZ(ER)","7","BOS","DOH","35000","31/08/2019","Abingdon"
"EI232","Aer Lingus","EI-DEO","2486","Airbus","A320-214","18","DUB","LGW","15000","31/08/2019","Abingdon"
"GJUFS","Private Owner","G-JUFS","928","Socata","TB-9 Tampico","34","UPV","N/A","2800","31/08/2019","Abingdon"
"EK202","Emirates","A6-EDM","42","Airbus","A380-861","13","JFK","DXB","37000","31/08/2019","Abingdon"
"GBJDW","Private Owner","GBJDW","1417","Reims-Cessna","F172M Skyhawk","47","N/A","N/A","3100","31/08/2019","Abingdon"
"CV9786","Cargolux","LX-VCI","35822","Boeing","747-8RF(F)","10","ORD","LUX","37000","31/08/2019","Abingdon"
"UA998","United Airlines","N14001","40936","Boeing","787-10 Dreamliner","5","BRU","EWR","31975","31/08/2019","Abingdon"
"BE142","Flybe","G-ECOF","4216","De Havilland","Canada Dash 8-400","15","NCL","SOU","9050","31/08/2019","Abingdon"
"KL792","KLM","PH-BQK","29399","Boeing","777-206(ER)","18","GRU","AMS","37000","31/08/2019","Abingdon"
